table_name,source_row_number,reason_code,reason_detail,payload,run_id
db_rotas,353,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 358, ""uf"": ""RJ"", ""nome"": ""RIO07-Penha-RJ"", ""rota"": ""ROTA 212-MATO GROSSO-MS 01"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 353}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,357,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 362, ""uf"": ""MG"", ""nome"": ""BHO03-Praca7-MG"", ""rota"": ""ROTA 502 - MINAS GERAIS 02"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 357}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,379,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 384, ""uf"": ""RJ"", ""nome"": ""NIT01-Niteroi-RJ"", ""rota"": ""ROTA 214-RONDONIA-RO"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 379}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,392,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 397, ""uf"": ""SC"", ""nome"": ""BLU01-Blumenau-SC"", ""rota"": ""GOI\u00c1S INTERIOR-GO"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 392}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,395,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 400, ""uf"": ""PE"", ""nome"": ""JGU13-CuradoII-PE"", ""rota"": ""ROTA 307-PALMARES-PE"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 395}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,401,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 406, ""uf"": ""SP"", ""nome"": ""ARR01-Araraquara-SP"", ""rota"": ""ROTA 201-MILH\u00c3O"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 401}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,404,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 410, ""uf"": ""BA"", ""nome"": ""ILH01-Ilheus-BA#"", ""rota"": ""ROTA 416 - BAHIA"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 404}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,410,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 416, ""uf"": ""AM"", ""nome"": ""MAN05-CidadeNova-AM#"", ""rota"": ""ROTA 024-JOAO PESSOA"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 410}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,411,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 417, ""uf"": ""MG"", ""nome"": ""BHO07-Barreiro-MG"", ""rota"": ""ROTA 503 - MINAS GERAIS 03"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 411}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,421,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 427, ""uf"": ""MG"", ""nome"": ""STE01-SeteLagoas-MG"", ""rota"": ""ROTA 505 - MINAS GERAIS 05"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 421}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,434,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 440, ""uf"": ""AM"", ""nome"": ""MAN06-Alvorada-AM#"", ""rota"": ""ROTA 026-AM/RR"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 434}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,465,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 471, ""uf"": ""RJ"", ""nome"": ""PTR01-Petropolis-RJ"", ""rota"": ""ROTA 214-RONDONIA-RO"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 465}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,497,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 503, ""uf"": ""SP"", ""nome"": ""SPA24-Pamplona-SP"", ""rota"": ""ROTA 204-ESPIRITO SANTO-ES"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 497}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,526,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 532, ""uf"": ""RJ"", ""nome"": ""RIO08-DiasCruz2-RJ#"", ""rota"": ""ROTA 212-MATO GROSSO-MS 01"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 526}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,528,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 534, ""uf"": ""MS"", ""nome"": ""TRE01-TresLagoas-MS#"", ""rota"": ""ROTA 203-RIO GRANDE- RS"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 528}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,539,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 545, ""uf"": ""SP"", ""nome"": ""GRU02-PresDutra-SP"", ""rota"": ""ROTA 809 - SAO PAULO 09"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 539}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,551,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 557, ""uf"": ""MG"", ""nome"": ""BHO06-ShEstacao-MG"", ""rota"": ""ROTA 501 - MINAS GERAIS 01"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 551}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,565,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 571, ""uf"": ""GO"", ""nome"": ""CNV01-CaldasNova-GO#"", ""rota"": ""ROTA 218"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 565}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,570,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 576, ""uf"": ""GO"", ""nome"": ""GOI10-SetorCentral 2"", ""rota"": ""ROTA 218"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 570}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,572,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 578, ""uf"": ""DF"", ""nome"": ""TAG02-Centro-DF"", ""rota"": ""ROTA 217-LOJA NOVA"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 572}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,583,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 590, ""uf"": ""PA"", ""nome"": ""CTL01-Castanhal-PA#"", ""rota"": ""ROTA 005-NOTURNO D+0"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 583}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,594,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 601, ""uf"": ""RJ"", ""nome"": ""CMP03-BrAmazonas-RJ"", ""rota"": ""ROTA 214-RONDONIA-RO"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 594}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,607,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 614, ""uf"": ""PA"", ""nome"": ""BEL10-SenadoLemos-PA"", ""rota"": ""ROTA 005-NOTURNO D+0"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 607}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,612,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 619, ""uf"": ""GO"", ""nome"": ""GOI13-SenadCanedo-GO"", ""rota"": ""ROTA 218"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 612}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,615,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 622, ""uf"": ""DF"", ""nome"": ""GMA01-Gama-DF"", ""rota"": ""ROTA 217-LOJA NOVA"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 615}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
db_rotas,626,required_null,Required columns null: cd,"{""cd"": null, ""filial"": 633, ""uf"": ""PE"", ""nome"": ""JGU07-Jaboatao-PE"", ""rota"": ""ROTA 011-CAUCAIA"", ""source_file"": ""BD_ROTAS.xlsx"", ""source_row_number"": 626}",8d684837-8adc-47f0-9dfa-c1cb41e994a1
